Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Structure Owner,Barrier Status,Partial Passability,Assessment Type Completed,Total Hab Gain Set,Num Barriers Set,Next Steps,Notes,Supporting Links
123770,1800045.0,John Brown Creek,Highway 16,Stream crossing - CBS,MOTI,POTENTIAL,Yes,Habitat confirmation,30.139999999999997,2.0,In-depth passage assessment (data deficient structures only),Very large system. Some baffles in culvert. Somewhat steep gradients downstream of crossing.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/john-brown-creek---123770---appendix.html
197668,1805608.0,Coffin Creek,Railway,Stream crossing - CBS,CN Rail,BARRIER,Yes,Habitat confirmation,29.910000000000004,4.0,In-depth passage assessment (data deficient structures only),,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197668-124504---coffin-creek.html
1f365462-063c-491e-9fb3-bfac004d9183,,Coffin Creek,n/a,Dam,Ducks Unlimited Canada,BARRIER,,Barrier assessment,29.910000000000004,4.0,Habitat confirmation (data deficient structures only),Formerly dam no. 1100001493,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/results-and-discussion.html
124504,1803401.0,Coffin Creek,Lawson Road,Stream crossing - CBS,MOTI,BARRIER,Yes,Habitat confirmation,29.910000000000004,4.0,In-depth passage assessment (data deficient structures only),,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197668-124504---coffin-creek.html#
197976,1800355.0,Ailport Creek,Highway 16,Stream crossing - CBS,MOTI,POTENTIAL,Yes,Habitat confirmation,19.23,2.0,In-depth passage assessment (data deficient structures only),Monitor during migration to determine extent of barrier. Juvenile-sized fish observed swimming through crossing (~140mm),https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/ailport-creek---197976-197975---appendix.html#
197663,1800213.0,Johnny David Creek,Highway 16,Stream crossing - CBS,MOTI,POTENTIAL,Yes,Habitat confirmation,18.32,1.0,In-depth habitat investigation (data deficient structures only),Look at open bottom replacement as long term fix,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197663-3054---johnny-david-creek.html
198048,1800048.0,Cesford Creek,Highway 16,Stream crossing - CBS,MOTI,BARRIER,Unknown,Habitat confirmation,16.41,3.0,In-depth passage assessment (data deficient structures only),Two culverts,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/cesford-creek---198048-198049---appendix.html
197974,1800356.0,Watson Creek,Highway 16,Stream crossing - CBS,MOTI,BARRIER,No,Habitat confirmation,14.1,4.0,In-depth habitat investigation (data deficient structures only),"Upgraded from low quality habitat during barrier assessment to medium during habitat confirmation, with improved flows. ",https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/watson-creek---197974---appendix.html
198065,1800191.0,Watson Creek,Montgomery Road,Stream crossing - CBS,Unknown,BARRIER,,Barrier assessment,14.1,4.0,Habitat confirmation (data deficient structures only),Abundant gravels and excellent vegetation cover.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html
197653,1800068.0,Perow Creek,Perow Loop Road,Stream crossing - CBS,MOTI,BARRIER,Unknown,Habitat confirmation,7.390000000000001,1.0,In-depth habitat investigation (data deficient structures only),"Sample for fish, determine passability. Partially embedded but perched. Could be a good candidate for backwatering ($20K).",https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/perow-creek---197653---appendix.html
123426,1800106.0,Robin Creek,Highway 16,Stream crossing - CBS,MOTI,POTENTIAL,,Barrier assessment,7.32,2.0,Engage with partners,,
123392,1800104.0,Lemieux Creek,Quick School Road,Stream crossing - CBS,MOTI,POTENTIAL,,Barrier assessment,7.2299999999999995,2.0,Engage with partners,Recommend adding to excluded structures list,
123393,1800265.0,Lemieux Creek,Highway 16,Stream crossing - CBS,MOTI,BARRIER,,Barrier assessment,7.2299999999999995,2.0,Engage with partners,Recommend adding to excluded structures list. Or confirmed barrier end of life cycle?,
