Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Next Steps,Reason,Notes,Supporting Links
123463,Victor Cr @ Tyhee Lk Rd (123463),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),No modeled habitat but noted as med quality in field.,Newly replaced crossing in 2020.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198570
123770,John Brown Cr @ Hwy 16 (123770),BULK,Stream crossing - CBS,Habitat confirmation,In-depth passage assessment (data deficient structures only),"olly Varden, Rainbow Trout and Coho captured upstream indicating partial barrier only. Chinook utilize reach above the culvert for spawning. Monitor during migration to determine extent of barrier",Very large system. Some baffles in culvert. Somewhat steep gradients downstream of crossing.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/john-brown-creek---123770---appendix.html
123777,Graphite Cr @ Campbell Rd (123777),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,Assess dam and rail crossing upstream at same time as habitat confirmation. Nice stream with riffle-pool complex.,
123778,Graphite Cr @ Hwy 16 (123778),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,Assess at same time as other crossings during habitat confirmation downstream,
123794,Trib to Blunt Cr @ Blunt Cr FSR (123794),BULK,Stream crossing - CBS,Habitat confirmation,Engage with partners,"No modeled habitat, fish present, anadromous values unknown. Determine whether to advance to in-depth habitat investigation",,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---123794---tributary-to-blunt-creek.html
123795,Trib to Blunt Cr (Blunt Cr FSR (123795),BULK,Stream crossing - CBS,Habitat confirmation,Engage with partners,No modeled habitat but historic salmon (general) observation nearby. Determine whether to advance to in-depth habitat investigation,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1661
124422,Trib to Waterfall Cr @ Hwy 16/10th Ave (124422),BULK,Stream crossing - CBS,Habitat confirmation,Engage with partners,100% backwatered and likely passable to most fish species and life stages,"Recommend leaving until end of life cycle, potentially move timeline up as part of larger subwatershed restoration campaign.",https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/results-and-discussion.html
124424,Trib to Waterfall Cr @ Railway (124424),BULK,Stream crossing - CBS,Barrier assessment,Barrier assessment (data deficient structures only),Last assessment completed 2013. Need to confirm whether crossing still backwatered.,Fully backwatered and unlikely to present barrier to most fish species and life stages,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=124604
124502,Trib to Bulkley R @ Lawson Rd (1124502),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),No modeled habitat but confirmed year-round flow by landowner. ,,
124504,Coffin Cr @ Lawson Rd (124504),BULK,Stream crossing - CBS,Habitat confirmation,In-depth passage assessment (data deficient structures only),Scores as barrier but likely passable to most fish species and life stages. Monitor to determine any fish passage issues.,,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197668-124504---coffin-creek.html#
197646,Trib to Buck Cr @ Spur off Parrot FSR (197646),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,Old log bridge with culvert inserted and beaver debris inside. Drains Sam Lk,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198546
197653,Perow Cr @ Perow Loop Rd (197653),BULK,Stream crossing - CBS,Habitat confirmation,In-depth habitat investigation (data deficient structures only),Scores as barrier and well watered in 2021 but dry in 2022. Fish presence in stream currently unknown,"Sample for fish, determine passability. Partially embedded but perched. Could be a good candidate for backwatering ($20K).",https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/perow-creek---197653---appendix.html
197654,Trib to Buck Cr @ Balsam FSR (197654),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),No modeled habitat but noted as med quality with good flow in field. ,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198554
197656,Trib to Bulkley R @ Hwy 16 (197656),BULK,Stream crossing - CBS,Barrier assessment,Engage with partners,Not clear which of 2 streams this point is associated with. Determine location and habitat values with partners,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198556
197663,Johnny David Cr @ Hwy 16 (197663),BULK,Stream crossing - CBS,Habitat confirmation,In-depth habitat investigation (data deficient structures only),"Backwatering conducted  ~2017. Coho upstream and downstream but twice as many downstream, hydraulic conditions in culvert still likely a passage issue to some life stages/at some flows. Monitor to determine passability. ",Look at open bottom replacement as long term fix,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197663-3054---johnny-david-creek.html
197668,Coffin Cr @ Railway (197668),BULK,Stream crossing - CBS,Habitat confirmation,In-depth passage assessment (data deficient structures only),Coho captured upstream of crossing. Monitor to determine any fish passage issues.,,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197668-124504---coffin-creek.html
197964,Bulkley R @ Railway (197964),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Med quality habitat. Beaver dam blocking inlet, causing ponding on both sides of tracks",,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205515
197974,Watson Cr @ Hwy 16 (197974),BULK,Stream crossing - CBS,Habitat confirmation,In-depth habitat investigation (data deficient structures only),"Full barrier to passage, historic Coho rearing point upstream but flows were lacking during 1 of 2 years sampled. Further sampling to determine habitat quality and species presence upstream and downstream of crossing would be helpful in determining level of priority.","Upgraded from low quality habitat during barrier assessment to medium during habitat confirmation, with improved flows. ",https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/watson-creek---197974---appendix.html
197976,Ailport Cr @ Hwy 16 (197976),BULK,Stream crossing - CBS,Habitat confirmation,In-depth passage assessment (data deficient structures only),Scores as barrier but unlikely an issue for any life stage except potentially at high flows.,Monitor during migration to determine extent of barrier. Juvenile-sized fish observed swimming through crossing (~140mm),https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/ailport-creek---197976-197975---appendix.html#
198044,Trib to Toboggan Cr @ Railway (198044),BULK,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,No crossing present at this location but should be given the water upstream. Historic Coho point upstream. Needs further assessment and discussion with railway owner to determine status of crossing.,Stream upstream of railway appears to be ephemeral and follows ditch a short ways before dissipating into shrubs.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html#
