Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Reason for Exclusion,Next Steps,Reason,Notes
1001802044,,BULK,Stream crossing - OBS,Barrier assessment,Passable,Bridge on private land,,
1001805032,,BULK,None,Barrier assessment,No key upstream habitat,Stream does not exist,,
123392,,BULK,Stream crossing - CBS,Barrier assessment,Passable,Scores as potential barrier but confirmed by SERNBC to likely be passble,Recommend adding to excluded structures list,
123393,,BULK,Stream crossing - CBS,Barrier assessment,Passable,Scores as barrier but confirmed by SERNBC to likely be passable,Recommend adding to excluded structures list. Or confirmed barrier end of life cycle?,
123426,,BULK,Stream crossing - CBS,Barrier assessment,Passable,Scores as potential barrier but determined by SERNBC to likely be passable to all fish species and life stages. ,,
123776,,BULK,Stream crossing - OBS,Barrier assessment,Passable,"Bridge, fairly recent replacement",,
195498,,BULK,Stream crossing - CBS,Barrier assessment,Passable,,"Partially embedded, no passage issues observed. ",
197647,,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,No modeled habitat and confirmed low quality in the field ,Dry at time of survey,
197655,,BULK,Stream crossing - CBS,Barrier assessment,Passable,"Small ditch, culvert fully passable",,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198555
197657,,BULK,Stream crossing - CBS,Barrier assessment,Passable,"Fully backwatered, scores as passable",,
197903,1001800180,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat, dry at time of assessment","very small channel (1.5 m width), no modeled key habitat upstream, likely due to low discharge values.",
197904,1001800372,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat, dry with dredged channel at time of assessment",No modeled key habitat upstream,
197900,1001805532,BULK,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
197902,1001800360,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat, dry at time of assessment","very small channel (1.5 m width), no modeled key habitat upstream, likely due to low discharge values.",
197905,1001803682,BULK,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
197906,1001803706,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat, small channel, dry at time of assessment",No modeled key habitat upstream,
197907,1001802611,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat, dry at time of assessment. Very short section of modeled key habitat (150 m) located 2 km upstream from crossing.",,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html#
197908,1001803697,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat, very small channel, dry at time of assessment",No modeled key habitat upstream,
197909,,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Confirmed non-fish-bearing in past assessments. Some Coho rearing potential of med quality noted during habitat confirmation. Confirmed excluded by working group,,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/tributary-to-maxan-creek---197909---appendix.html
197910,1001804694,BULK,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
197913,1001802088,BULK,Stream crossing - Ford,Barrier assessment,Passable,Ford. No passage issues but intense cattle-related impacts.,,
197914,1001802089,BULK,Stream crossing - Ford,Barrier assessment,Passable,Ford. No passage issues but intense cattle-related impacts.,,
197955,100180422,BULK,Stream crossing - Ford,Barrier assessment,Passable,Ford,,
197956,1001801133,BULK,Stream crossing - Ford,Barrier assessment,Passable,No crossing present at this location. Private land access.,,
197957,1001801969,BULK,Stream crossing - OBS,Barrier assessment,Passable,ATV bridge over historic culverts that have been washed out. No fish passage issues.,,
197963,1001805531,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low quality habitat,  no modeled key habitat upstream.",Beavers have clogged both inlets (double barrel). Significant sized marsh ~40m upstream with beaver dam 1.5 - 2m high on outlet of wetland. ,
197969,1001800583,BULK,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
197970,1001803813,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Low quality habitat. Channel dry with small amount of water downstream. No modeled key habitat upstream,,
197972,1001802040,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Stream dry upstream and downstream except small outlet pool. No modeled key habitat upstream,,
198041,1001802760,BULK,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
198042,1001805553,BULK,Stream crossing - CBS,Barrier assessment,Passable,"Likely closed-bottom structures (concrete boxes) but look like bridges. Deep channel with lake upstream. Not likely presenting much of barrier due to deep, slow flows.",,
198047,1001801773,BULK,Stream crossing - Ford,Barrier assessment,Passable,Structure does not exist; road deactivated,,
198066,,BULK,Stream crossing - CBS,Habitat confirmation,Passable,Passable to all life stages and species but may be slight barrier during high flows. ,,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/thompson-creek---198066-123377-123375---appendix.html
198100,,BULK,Stream crossing - Ford,Barrier assessment,Passable,Ford,,
198103,,BULK,Stream crossing - CBS,Barrier assessment,Passable,Passable. Fully backwatered and embedded concrete box.,,
