Name,Organization
Brian Williams,Gitxsan Nation
Elaine Sampson,Gitxsan Nation
Gordon Sebastian,Gitxsan Nation
JohnDegagne,"Ministry of Forests, Lands and Natural Resource Operations"
Al Irvine,Society for Ecosystem Restoration in Northern BC
Sean Mitchell,Skeena Sustainability Assessment Forum
JesseStoeppler,Skeena Watershed Conservation Coalition
DavidDewit,Office of the Wetsuweten
Mike Ridsdale,Office of the Wetsuweten
JuliaOnderwater,Office of the Wetsuweten
Teagan OShaughnessy,Office of the Wetsuweten
Dallas Nikal,WitsetFirst Nation
Natalie Newman,Department of Fisheries and Oceans Canada
Peter Dekoning,Department of Fisheries and Oceans Canada
Sandra Devcic,Department of Fisheries and Oceans Canada
Betty Rebellato,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Sarah Sra,Canadian Wildlife Federation
