Barrier ID,Internal Name,Structure Status,CWF Model Rank (Spawning),CWF Model Rank (Rearing),CWF Model Rank (Spawning & Rearing Combined),SSAF Rank (Weighted in Favor of Disturbed Habitats),SSAF Rank (Weighted in Favor of Unisturbed Habitats)
57944,Toboggan Cr @ Hwy 16 (57944),Non-actionable barrier,1,1,1,1,102
197964,Bulkley R @ Railway (197964),Data-deficient barrier,8,2,2,23,37
197967,Taman Cr @ Hwy 16 (197967),Rehabilitated barrier,8,2,2,23,37
197663,Johnny David Cr @ Hwy 16 (197663),Data-deficient barrier,4,3,3,12,58
1024756616,Sinclair Cr @ Telkwa R FSR (24756616),,2,4,4,117,1
123770,John Brown Cr @ Hwy 16 (123770),Data-deficient barrier,3,5,5,118,2
197976,Ailport Cr @ Hwy 16 (197976),Data-deficient barrier,6,6,6,82,7
197975,Ailport Cr @ Private (197975),Priority barrier,6,6,6,82,7
1001800865,Trib to Sunsets Cr @ Unnamed (1800865),,38,7,7,102,6
197662,Richfield Cr @ Hwy 16 (197662),Priority barrier,7,8,8,34,33
124500,Helps Cr @ Lawson Rd (124500),Priority barrier,32,9,9,73,12
197960,Corya Cr @ Railway (197960),Priority barrier,5,10,10,86,8
197974,Watson Cr @ Hwy 16 (197974),Data-deficient barrier,,11,11,87,9
198065,Watson Cr @ Montgomery Rd (198065),Data-deficient barrier,,11,11,87,9
58242,Kathlyn Cr @ Hwy 16 (58242),Data-deficient barrier,9,14,12,2,104
197668,Coffin Cr @ Railway (197668),Data-deficient barrier,15,12,13,60,20
124504,Coffin Cr @ Lawson Rd (124504),Data-deficient barrier,15,12,13,60,20
195476,Coffin Cr @ Hydro ROW (195476),,15,12,13,60,20
1f365462-063c-491e-9fb3-bfac004d9183,Coffin Cr Dam,Data-deficient barrier,36,12,13,60,20
123445,Tyhee Cr @ Hwy 16 (123445),Priority barrier,,13,14,7,74
123446,Tyhee Cr @ Tyhee Ld Rd (123446),Non-actionable barrier,,13,14,7,74
1001801328,,,40,15,15,8,75
3138,McQuarrie Cr @ North Rd (3138),,20,16,16,115,4
124420,Station Cr @ Hwy 16 (124420),Priority barrier,14,19,17,63,21
197653,Perow Cr @ Perow Loop Rd (197653),Data-deficient barrier,,17,18,93,10
57793,Vallee Cr @ Walcott Rd (57793),Data-deficient barrier,17,18,19,5,96
197640,Trib to Buck Cr @ Buck Flats Rd (197640),Priority barrier,23,20,20,13,64
198090,Cesford Cr @ Raiway (198090),Data-deficient barrier,13,21,21,3,108
124487,Porphry Cr @ Hwy 16 (124487),Priority barrier,12,22,22,119,3
197658,Byman Cr @ Hwy 16 (197658),Priority barrier,10,23,23,96,11
195943,Stock Cr @ Barrett Stn Rd (195943),Priority barrier,,24,24,28,41
1001801055,,,,24,24,28,41
195944,Stock Cr @ Hwy 16 (195944),Priority barrier,,24,24,28,41
3139,Trib to McQuarrie @ North Rd (3139),Data-deficient barrier,,25,25,116,5
123377,Thompson Cr @ Walcott Rd (123377),Priority barrier,11,26,26,11,82
123375,Trib to Thompson Cr @ Hwy 16 (123375),Non-actionable barrier,21,26,26,11,82
123380,Trib to Thompson Cr @ Private (123380),,21,26,26,11,82
1001802267,Thompson Cr @ unnamed (1802267),,21,26,26,11,82
123382,Trib to Thompson Cr @ McNeil Rd (123382),,21,26,26,11,82
3091,,,,27,27,68,24
1001800403,,,,28,28,15,68
195290,Gibson Cr @ Hwy 16 (195290),Priority barrier,,29,29,30,43
195288,Gibson Cr @ Schnider Rd (195288),Priority barrier,,29,29,30,43
1024748047,,,33,31,30,80,16
