Name,Organization
Betty Rebellato,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Justin Duncan,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Sarah Sra,Canadian Wildlife Federation
Simon Norris,Hillcrest Geographics
Natalie Newman,Department of Fisheries and Oceans Canada
Peter Dekoning,Department of Fisheries and Oceans Canada
Sandra Devcic,Department of Fisheries and Oceans Canada
Brian Williams,Gitxsan Nation
Elaine Sampson,Gitxsan Nation
Gordon Sebastian,Gitxsan Nation
John Degagne,"Ministry of Forests, Lands and Natural Resource Operations"
Al Irvine,Society for Ecosystem Restoration in Northern BC
Sean Mitchell,Skeena Sustainability Assessment Forum
Jesse Stoeppler,Skeena Watershed Conservation Coalition
David Dewit,Office of the Wet’suwet’en
Mike Ridsdale,Office of the Wet’suwet’en
Dallas Nikal,Witset First Nation
